title,url,description,keywords,duration,view_count,datePublished,genre,,,,,,
Exclusive interview with Salman and Narendra Modi,https://www.youtube.com/embed/EseDzZimdEY,Exclusive video aishwarya rai interview salman khan ani interview narendra modi interview trailer interview with a cannibal interview with a monster intervie...,"Narendra Modi (Politician), modi, narendra modi, PM, PM - Narendra modi, india, indian PM, Indian PM Narendra modi, Salman Khan (Film Actor), Salman khan int...",PT7M7S,4884,2/18/15,People & Blogs,,,,,,
Narendra Modi's sharp analysis of Sonia Gandhi in 1999 interview,https://www.youtube.com/embed/3211rCnwEmY, ,"Narendra Modi (Politician), Sonia Gandhi (Politician), India, Subramanian Swamy (Politician), Rahul Gandhi (Politician), Bharatiya Janata Party (Political Pa...",PT6M45S,236792,11/16/14,News & Politics,,,,,,
Townhall Q&A (Hindi) with PM Modi and Mark Zuckerberg at Facebook HQ in San Jose,https://www.youtube.com/embed/HHloYymVIZQ,"Townhall Q&A (Hindi) with Prime Minister Narendra Modi and Mark Zuckerberg at Facebook HQ in San Jose, California","Narendra Modi, India, Governance, PM, Development, Vikas, Brand India, Prime Minster, BJP, NDA, NaMo, Modi, Vision of India, India first, New Delhi, 7RCR, Pr...",PT47M2S,158064,9/27/15,News & Politics,,,,,,
Narendra Modi meets Mark Zuckerberg at Facebook HQ | Narendra Modi in USA |,https://www.youtube.com/embed/H1I_MhN2tyA,Watch Q & A between Narendra Modi and Mark Zuckerberg held at Facebook HQ on 27-09-2015. SUBSCRIBE this channel for regular updates on Indian Politics at thi...,"narendra modi, mark zuckerberg, narendra modi in usa, narendra modi meets mark zuckerberg, narendra modi and mark zuckerberg Q&A, narendra modi us visit, nar...",PT48M16S,67432,9/28/15,News & Politics,,,,,,
Actual Footage of Narendra Modi Interview with Karan Thapar begging NaMo to Give Time,https://www.youtube.com/embed/CG7xLAo2vSo, ,"Narendra Modi (Politician), Karan Thapar (Person), India, Interviews, Exclusive, Namo, Narendra modi interview, BJP, Bharatiya Janata Party (Organization), B...",PT3M32S,265646,12/18/13,News & Politics,,,,,,
Narendra Modi in Aap Ki Adalat 2014 (Part 1) - India TV,https://www.youtube.com/embed/lvqBzYOrcew,"Watch out BJP Prime ministerial candidate, Narendra Modi grilled by India TV's editor-in chief Rajat Sharma in Aap Ki Adalat. SUBSCRIBE to India TV Here: htt...","modi in aap ki adalat, narendra modi aap ki adalat 2014, Aap Ki Adalat, modi, Narendra Modi, gujarat chief miniter, BJP Prime ministerial candidate, Indiatv,...",PT20M17S,379338,4/14/14,Entertainment,,,,,,
Narendra Modi Interview Must Watch Best Speech Forever godhra,https://www.youtube.com/embed/_PQ54C8B9ws,This is the real Video of Narendra Modi Interview Must Watch Best Speech Forever Narendra Modi is daring and dashing news reporter have no right to interview...,"gujarat, narendramodi, Narendra Modi, PM Of Gujarat, best speech, best c m, CM of Gujarat, riots, of narendra modi, godhra, 2002",PT36M5S,56803,6/18/13,News & Politics,,,,,,
Narendra Modi fights back 4/5,https://www.youtube.com/embed/V36f7w0EwHw,"Gujarat CM Narendra Modi in this video is at a news summit answering to the so-called pseudo-Secular overtly pro-Muslim biased english media, audience, and a...","Narendra, Modi, CM, Gujarat, Hindustan, Times, Summit, Riots, Elections, Bias, Media, Rajdeep, Sardesai, BJP, india, congress, gujarat",PT10M0S,172146,10/13/07,News & Politics,,,,,,
PM Narendra Modi Agressive Speech Land Bill | Parliament Sessions | CVR News,https://www.youtube.com/embed/HUoLN5XPyAU,Prime Minister Narendra Modi has replied in an aggressive way in the Lok Sabha to debate on President's address. This is his first speech in Parliament in on...,"PM Narendra Modi, PM Narendra Modi aggressive speech, Modi aggressive speech, Land acquisition bill, Lok Sabha, Land acquisition act, modi speech, narendra m...",PT35M19S,203460,2/28/15,News & Politics,,,,,,
Fresh controvrsy over edited bits of Narendra Modi's interview,https://www.youtube.com/embed/IGwpxG51QLk,Fresh controversy has now broken out over the parts edited out of the DD News interview. Yesterday comments ping ponged over Modi referring to Priyanka Gandh...,"ABP News (TV Network), Narendra Modi (Politician), Ahmed Patel (Politician), Priyanka Vadra (Politician), Pervez Musharraf (Author)",PT11M3S,10063,5/1/14,News & Politics,,,,,,
