type_p,title,thumbnail,video
video,Narendra Modi interview with Rajat Sharma,https://i.ytimg.com/vi/3vJT42Ng520/mqdefault.jpg,https://www.youtube.com/watch?v=3vJT42Ng520
video,Salman Khan and Narendra Modi Live Interview,https://i.ytimg.com/vi/3PQM4U4WoRY/mqdefault.jpg,https://www.youtube.com/watch?v=3PQM4U4WoRY
video,Narendra Modi's Interview to ANI (Part 1 of 2),https://i.ytimg.com/vi/74eElixjbfA/mqdefault.jpg,https://www.youtube.com/watch?v=74eElixjbfA
video,Narendra Modi's interview with Star News,https://i.ytimg.com/vi/eJ-tumzU0hQ/mqdefault.jpg,https://www.youtube.com/watch?v=eJ-tumzU0hQ
video,Narendra Modi's Exclusive Interview to ANI (Part 1 of 2),https://i.ytimg.com/vi/_O-GvEzU8jo/mqdefault.jpg,https://www.youtube.com/watch?v=_O-GvEzU8jo
video,Watch How Narendra Modi Destroyed Arnab Goswami on Rahul Gandhi issue small,https://i.ytimg.com/vi/WWoIPyE0hOI/mqdefault.jpg,https://www.youtube.com/watch?v=WWoIPyE0hOI
video,KELVIKKENNA BATHIL - Exclusive Interview With Narendra Modi 19/04/2014,https://i.ytimg.com/vi/6SlgcrEVpCg/mqdefault.jpg,https://www.youtube.com/watch?v=6SlgcrEVpCg
video,Narendra Modi's interview to DD News,https://i.ytimg.com/vi/KNtIwqN01bI/mqdefault.jpg,https://www.youtube.com/watch?v=KNtIwqN01bI
video,PM Narendra Modi Full Interview CNN - Fareed Zakaria GPS September 2014First International US Interv,https://i.ytimg.com/vi/3zd-u2Lxp8M/mqdefault.jpg,https://www.youtube.com/watch?v=3zd-u2Lxp8M
video,Narendra Modi's Interview On Aaj Tak After AK49 Now Kraantikaari Channel Just 6 Seconds,https://i.ytimg.com/vi/YcLMTDM6570/mqdefault.jpg,https://www.youtube.com/watch?v=YcLMTDM6570
video,Narendra Modi's interview with Aaj Tak,https://i.ytimg.com/vi/xYFNxnx1GL8/mqdefault.jpg,https://www.youtube.com/watch?v=xYFNxnx1GL8
video,NARENDRA MODI INTERVIEW MIX 2015 | Acche Din Aayenge | Parody | Trap | MixSingh,https://i.ytimg.com/vi/9y8oeTT3NfQ/mqdefault.jpg,https://www.youtube.com/watch?v=9y8oeTT3NfQ
video,Hindutva Fascist Exposed - Narendra Modi Abruptly Ends Interview,https://i.ytimg.com/vi/XVBwUtwalWc/mqdefault.jpg,https://www.youtube.com/watch?v=XVBwUtwalWc
video,Narendra Modi Interview revealing his education,https://i.ytimg.com/vi/erC57SZ_aSc/mqdefault.jpg,https://www.youtube.com/watch?v=erC57SZ_aSc
video,Prasar Bharati CEO Jawhar Sircar admits Narendra Modi interview edited,https://i.ytimg.com/vi/KVk96go614k/mqdefault.jpg,https://www.youtube.com/watch?v=KVk96go614k
video,Shri Narendra Modi's interview with Sandesh,https://i.ytimg.com/vi/o5j7XbkLnw0/mqdefault.jpg,https://www.youtube.com/watch?v=o5j7XbkLnw0
video,CM Shri Narendra Modi's Interview with NDTV -1/3,https://i.ytimg.com/vi/TeAOTKCHY30/mqdefault.jpg,https://www.youtube.com/watch?v=TeAOTKCHY30
video,Watch Narendra Modi's interview on ABP Ananda today at 8PM,https://i.ytimg.com/vi/XxJ7DtvBqB8/mqdefault.jpg,https://www.youtube.com/watch?v=XxJ7DtvBqB8
video,Narendra modi interview speaking on vote bank politics,https://i.ytimg.com/vi/c_YnzVGLqbs/mqdefault.jpg,https://www.youtube.com/watch?v=c_YnzVGLqbs
video,Narendra Modi's interview with TV9,https://i.ytimg.com/vi/TeRID40mcKY/mqdefault.jpg,https://www.youtube.com/watch?v=TeRID40mcKY
video,Narendra Modi making fun of Congress,https://i.ytimg.com/vi/_9IwcvO0n-k/mqdefault.jpg,https://www.youtube.com/watch?v=_9IwcvO0n-k
video,Highlights of PM Narendra Modiâ€™s interview with CNN,https://i.ytimg.com/vi/XNCtI8t-L9o/mqdefault.jpg,https://www.youtube.com/watch?v=XNCtI8t-L9o
video,"Narendra Modi wanted to Escape, but sadly this time he was in Plane could not chuck reporter.",https://i.ytimg.com/vi/fsRePBbzg6A/mqdefault.jpg,https://www.youtube.com/watch?v=fsRePBbzg6A
video,TIMES NOW Exclusive: Narendra Modi Interview,https://i.ytimg.com/vi/DhoRWnbjh2E/mqdefault.jpg,https://www.youtube.com/watch?v=DhoRWnbjh2E
video,Narendra Modi's Interview On Aaj Tak à_•à¥çà_°à__à_¨à¥çà__à_¿à_•à__à_°à¥€ à__à¥ˆà_¨à__,https://i.ytimg.com/vi/tsVDl5lZcOU/mqdefault.jpg,https://www.youtube.com/watch?v=tsVDl5lZcOU
video,Shri Narendra Modi's interview with TV 9 during his Japan trip,https://i.ytimg.com/vi/FOfogtwOQpM/mqdefault.jpg,https://www.youtube.com/watch?v=FOfogtwOQpM
video,Narendra Modi Interview about Priyanka Vadra,https://i.ytimg.com/vi/Non58w3_VHo/mqdefault.jpg,https://www.youtube.com/watch?v=Non58w3_VHo
video,Shri Narendra Modi's interview with ETv,https://i.ytimg.com/vi/FejAs1EudqM/mqdefault.jpg,https://www.youtube.com/watch?v=FejAs1EudqM
video,Narendra Modi's interview with News Xpress,https://i.ytimg.com/vi/DXl4v3eShTk/mqdefault.jpg,https://www.youtube.com/watch?v=DXl4v3eShTk
video,Narendra Modi's Interview to ANI (Part 2 of 2),https://i.ytimg.com/vi/MmT2LzfYsf0/mqdefault.jpg,https://www.youtube.com/watch?v=MmT2LzfYsf0
video,Narendra modi's Interview by J P  sharma,https://i.ytimg.com/vi/Pk1yWXkmgSg/mqdefault.jpg,https://www.youtube.com/watch?v=Pk1yWXkmgSg
video,CM shri Narendra Modi's Interview with Sahara Samay - 3/3,https://i.ytimg.com/vi/QAiNWtMHNhk/mqdefault.jpg,https://www.youtube.com/watch?v=QAiNWtMHNhk
video,Shri Narendra Modi's interview à_œà¥‹ à__à_¿à_–à__à_¯à__ à_¨à__à¥€à_‚ Doordarshan à_¨à¥‡,https://i.ytimg.com/vi/fQ2bm6jff2Q/mqdefault.jpg,https://www.youtube.com/watch?v=fQ2bm6jff2Q
video,NEWS9: Narendra Modi's interview 1,https://i.ytimg.com/vi/W3St9_Ws89w/mqdefault.jpg,https://www.youtube.com/watch?v=W3St9_Ws89w
video,Narendra Modi speech after Godhra incident 2002 - the so called 'Riot period' -must see,https://i.ytimg.com/vi/4CiuBBKJ30Q/mqdefault.jpg,https://www.youtube.com/watch?v=4CiuBBKJ30Q
video,NEWS9: Narendra Modi's interview 4,https://i.ytimg.com/vi/66Vgld7a_So/mqdefault.jpg,https://www.youtube.com/watch?v=66Vgld7a_So
video,Shri Narendra Modi's interview with GTPL,https://i.ytimg.com/vi/JM5lx_FZSlQ/mqdefault.jpg,https://www.youtube.com/watch?v=JM5lx_FZSlQ
video,The Narendra Modi Interview on Times Now 2/3,https://i.ytimg.com/vi/m4ZIHazNZsg/mqdefault.jpg,https://www.youtube.com/watch?v=m4ZIHazNZsg
